"Year","COUNTYFIPS","COUNTYNAME","weighted_agi_stub","designatedArea","count"
2012,1,"Alameda County",4.55106239969273,NA,NA
2012,3,"Alpine County",4.04444444444444,NA,NA
2012,5,"Amador County",4.26557583385777,NA,NA
2012,7,"Butte County",3.99379582628314,NA,NA
2012,9,"Calaveras County",4.20786516853933,NA,NA
2012,11,"Colusa County",3.9893730074389,NA,NA
2012,13,"Contra Costa County",4.70443736980702,NA,NA
2012,15,"Del Norte County",3.94557097118463,NA,NA
2012,17,"El Dorado County",4.50760998810939,NA,NA
2012,19,"Fresno County",3.89706665247019,NA,NA
2012,21,"Glenn County",3.87986171132239,NA,NA
2012,23,"Humboldt County",3.91537479482035,NA,NA
2012,25,"Imperial County",3.6692704885476,NA,NA
2012,27,"Inyo County",4.17421602787456,NA,NA
2012,29,"Kern County",4.0326016685651,NA,NA
2012,31,"Kings County",3.95,NA,NA
2012,33,"Lake County",3.82412263009278,"Lake (County)",1
2012,35,"Lassen County",4.25202429149798,NA,NA
2012,37,"Los Angeles County",4.07771111804911,NA,NA
2012,39,"Madera County",3.85623566766626,NA,NA
2012,41,"Marin County",4.90039688597161,NA,NA
2012,43,"Mariposa County",4.02473958333333,NA,NA
2012,45,"Mendocino County",3.88600899233007,NA,NA
2012,47,"Merced County",3.80715331520602,NA,NA
2012,49,"Modoc County",3.83667621776504,NA,NA
2012,51,"Mono County",4.03858520900322,NA,NA
2012,53,"Monterey County",4.05266188556771,NA,NA
2012,55,"Napa County",4.43852274433268,NA,NA
2012,57,"Nevada County",4.23160308526162,NA,NA
2012,59,"Orange County",4.38065331016532,NA,NA
2012,61,"Placer County",4.63446879466413,NA,NA
2012,63,"Plumas County",4.11649365628604,NA,NA
2012,65,"Riverside County",4.07527059497829,NA,NA
2012,67,"Sacramento County",4.2093496576315,NA,NA
2012,69,"San Benito County",4.27041019514138,NA,NA
2012,71,"San Bernardino County",3.98891817419432,NA,NA
2012,73,"San Diego County",4.31795393593078,"San Diego (County)",1
2012,75,"San Francisco County",4.67015498741555,NA,NA
2012,77,"San Joaquin County",4.05933903494879,NA,NA
2012,79,"San Luis Obispo County",4.29746734628863,NA,NA
2012,81,"San Mateo County",4.82430858412114,NA,NA
2012,83,"Santa Barbara County",4.2168289792343,NA,NA
2012,85,"Santa Clara County",4.81821873622166,NA,NA
2012,87,"Santa Cruz County",4.30743056105088,NA,NA
2012,89,"Shasta County",4.01449275362319,"Shasta (County)",1
2012,91,"Sierra County",4.07936507936508,NA,NA
2012,93,"Siskiyou County",3.82900432900433,NA,NA
2012,95,"Solano County",4.37559883357634,NA,NA
2012,97,"Sonoma County",4.3283588399425,NA,NA
2012,99,"Stanislaus County",3.9952597558056,NA,NA
2012,101,"Sutter County",4.02664204695331,NA,NA
2012,103,"Tehama County",3.87318690426855,"Tehama (County)",1
2012,105,"Trinity County",3.77685950413223,NA,NA
2012,107,"Tulare County",3.79736359874682,NA,NA
2012,109,"Tuolumne County",4.1042735042735,NA,NA
2012,111,"Ventura County",4.35675403225806,NA,NA
2012,113,"Yolo County",4.3552599758162,NA,NA
2012,115,"Yuba County",3.91936671575847,NA,NA
2013,1,"Alameda County",4.61209453383973,NA,NA
2013,3,"Alpine County",4.04444444444444,NA,NA
2013,5,"Amador County",4.28066914498141,NA,NA
2013,7,"Butte County",4.03602192638998,NA,NA
2013,9,"Calaveras County",4.25573102394294,NA,NA
2013,11,"Colusa County",4.04255319148936,NA,NA
