"femaDeclarationString","disasterNumber","state","declarationType","declarationDate","fyDeclared","incidentType","declarationTitle","ihProgramDeclared","iaProgramDeclared","paProgramDeclared","hmProgramDeclared","incidentBeginDate","incidentEndDate","disasterCloseoutDate","tribalRequest","fipsStateCode","fipsCountyCode","placeCode","designatedArea","declarationRequestNumber","lastIAFilingDate","incidentId","region","designatedIncidentTypes","lastRefresh","hash","id"
"FM-5004-CA",5004,"CA","FM","2012-08-13T00:00:00.000Z",2012,"Fire","WYE FIRE",0,0,1,0,"2012-08-12T00:00:00.000Z","2012-08-18T00:00:00.000Z","2013-12-17T00:00:00.000Z",0,6,33,99033,"Lake (County)",12072,"",2012081302,9,"","2024-08-27T18:22:14.800Z","b666d569603f0d66d6b88fbb2ccff70557bc860e","e314ede1-8408-4654-a232-a1aebcf1572e"
"FM-5007-CA",5007,"CA","FM","2012-08-19T00:00:00.000Z",2012,"Fire","PONDEROSA FIRE",0,0,1,0,"2012-08-18T00:00:00.000Z","2012-09-04T00:00:00.000Z","2013-12-17T00:00:00.000Z",0,6,89,99089,"Shasta (County)",12074,"",2012081901,9,"","2024-08-27T18:22:14.800Z","2f6d0c65bb27edc25eed3c1fa0817dcf3e507afa","88786841-55f9-414f-a9ab-e45468ff83b5"
"FM-5007-CA",5007,"CA","FM","2012-08-19T00:00:00.000Z",2012,"Fire","PONDEROSA FIRE",0,0,1,0,"2012-08-18T00:00:00.000Z","2012-09-04T00:00:00.000Z","2013-12-17T00:00:00.000Z",0,6,103,99103,"Tehama (County)",12074,"",2012081901,9,"","2024-08-27T18:22:14.800Z","006dde25a7f0de2883d6895308c791638ca7a886","a827f0bf-e630-45e0-8853-d708957b7557"
"FM-5021-CA",5021,"CA","FM","2012-09-24T00:00:00.000Z",2012,"Fire","SHOCKEY FIRE",0,0,1,0,"2012-09-23T00:00:00.000Z","2012-09-27T00:00:00.000Z","2013-12-17T00:00:00.000Z",0,6,0,10522,"Campo Indian Reservation",12094,"",2012092401,9,"","2024-08-27T18:22:14.800Z","2c4bad45a1993c74004620cd3517a412b4b1c0eb","c7e6de34-6445-4233-a390-c416cbe2787b"
"FM-5021-CA",5021,"CA","FM","2012-09-24T00:00:00.000Z",2012,"Fire","SHOCKEY FIRE",0,0,1,0,"2012-09-23T00:00:00.000Z","2012-09-27T00:00:00.000Z","2013-12-17T00:00:00.000Z",0,6,73,99073,"San Diego (County)",12094,"",2012092401,9,"","2024-08-27T18:22:14.800Z","1e0a54ff2818663e8dc5946b170193ee1608263c","60f6459b-8713-4625-bf18-e99ccb51be21"
"FM-5023-CA",5023,"CA","FM","2013-05-01T00:00:00.000Z",2013,"Fire","SUMMIT FIRE",0,0,1,0,"2013-05-01T00:00:00.000Z","2013-05-05T00:00:00.000Z","2015-02-24T00:00:00.000Z",0,6,65,99065,"Riverside (County)",13021,"",2013050201,9,"","2024-08-27T18:22:14.800Z","d75e61fb88a0b7188958946050501698b7477463","273a2826-1157-458a-b6dc-015f538cb766"
"FM-5024-CA",5024,"CA","FM","2013-05-02T00:00:00.000Z",2013,"Fire","SPRINGS FIRE",0,0,1,0,"2013-05-02T00:00:00.000Z","2013-05-11T00:00:00.000Z","2015-05-08T00:00:00.000Z",0,6,111,99111,"Ventura (County)",13022,"",2013050203,9,"","2024-08-27T18:22:14.800Z","222aab21c42768e298700d2a25fde4659d9a4b91","8b0732a3-b90d-46a7-bb7c-b67667fb1644"
"FM-5025-CA",5025,"CA","FM","2013-06-02T00:00:00.000Z",2013,"Fire","POWERHOUSE FIRE",0,0,1,0,"2013-05-31T00:00:00.000Z","2013-06-08T00:00:00.000Z","2015-05-08T00:00:00.000Z",0,6,37,99037,"Los Angeles (County)",13029,"",2013060201,9,"","2024-08-27T18:22:14.800Z","bdb4248d8d446c5a111a27e0122dbe8ff67a7c90","720fe589-eb1c-4009-9c13-4558289c2d94"
"DR-4142-CA",4142,"CA","DR","2013-08-29T00:00:00.000Z",2013,"Fire","WILDFIRE",0,0,1,1,"2013-07-29T00:00:00.000Z","2013-08-01T00:00:00.000Z","",1,6,0,37825,"Karuk Reservation",13079,"",2013082601,9,"","2024-08-27T18:22:14.800Z","41349ef5ba3cccc5dc2f77ce8e7e5a5860086bcd","ac7b46e0-24a1-4a20-bca5-55d27d203638"
"FM-5040-CA",5040,"CA","FM","2013-08-06T00:00:00.000Z",2013,"Fire","FALLS FIRE",0,0,1,0,"2013-08-05T00:00:00.000Z","2013-08-10T00:00:00.000Z","2016-10-20T00:00:00.000Z",0,6,65,99065,"Riverside (County)",13069,"",2013080601,9,"","2024-08-27T18:22:14.800Z","f40b6275ccf0b798644ae4735598ade0385d77c2","33bac4cd-a304-44f4-91ea-ee2b25b0b793"
"FM-5041-CA",5041,"CA","FM","2013-08-08T00:00:00.000Z",2013,"Fire","SILVER FIRE",0,0,1,0,"2013-08-07T00:00:00.000Z","2013-08-13T00:00:00.000Z","2016-10-20T00:00:00.000Z",0,6,65,99065,"Riverside (County)",13070,"",2013080801,9,"","2024-08-27T18:22:14.800Z","c25912a73d714e32516cbb0b22ccb260e03db8d6","f7e3cb25-b535-4739-bb36-0eab2dc9238a"
"DR-4158-CA",4158,"CA","DR","2013-12-13T00:00:00.000Z",2014,"Fire","RIM FIRE",0,0,1,1,"2013-08-17T00:00:00.000Z","2013-10-24T00:00:00.000Z","",0,6,109,99109,"Tuolumne (County)",13092,"",2013082401,9,"","2024-08-27T18:22:14.800Z","971064ce0190f3c391e13d5ef3c6e3cc054a6e00","fdae9a84-12e4-483e-892e-31f42e27cbcb"
"FM-5049-CA",5049,"CA","FM","2013-08-23T00:00:00.000Z",2013,"Fire","RIM FIRE",0,0,1,0,"2013-08-20T00:00:00.000Z","2013-09-08T00:00:00.000Z","2022-10-13T00:00:00.000Z",0,6,43,99043,"Mariposa (County)",13078,"",2013082401,9,"","2024-08-27T18:22:14.800Z","562072c7c7ab9c0bfd790211934dd62cfca7b114","909a3c74-f4e1-45ee-bd7d-a0bb7f10b99e"
"FM-5049-CA",5049,"CA","FM","2013-08-23T00:00:00.000Z",2013,"Fire","RIM FIRE",0,0,1,0,"2013-08-20T00:00:00.000Z","2013-09-08T00:00:00.000Z","2022-10-13T00:00:00.000Z",0,6,109,99109,"Tuolumne (County)",13078,"",2013082401,9,"","2024-08-27T18:22:14.800Z","a30c1ee7d7bab7111d6f506914d36452f130b7d6","1401e51b-9cd3-45b2-8a66-83ee00935872"
"FM-5050-CA",5050,"CA","FM","2013-09-10T00:00:00.000Z",2013,"Fire","CLOVER FIRE",0,0,1,0,"2013-09-09T00:00:00.000Z","2013-09-14T00:00:00.000Z","2015-11-24T00:00:00.000Z",0,6,89,99089,"Shasta (County)",13084,"",2013091001,9,"","2024-08-27T18:22:14.800Z","13252c15c04f0a66aea6d94e96ff5d8162fae439","9c0dc2de-f6aa-4142-83fc-198b70a3ab58"
"FM-5051-CA",5051,"CA","FM","2014-01-16T00:00:00.000Z",2014,"Fire","COLBY FIRE",0,0,1,0,"2014-01-16T00:00:00.000Z","2014-01-22T00:00:00.000Z","2015-04-02T00:00:00.000Z",0,6,37,99037,"Los Angeles (County)",14005,"",2014011601,9,"","2024-08-27T18:22:14.800Z","d08181311a017f47391027441590e3347e010e61","061a30bc-921e-49fd-86ca-d310228e213f"
"FM-5055-CA",5055,"CA","FM","2014-05-14T00:00:00.000Z",2014,"Fire","COCOS FIRE",0,0,1,0,"2014-05-14T00:00:00.000Z","2014-05-22T00:00:00.000Z","2016-08-16T00:00:00.000Z",0,6,73,99073,"San Diego (County)",14036,"",2014051501,9,"","2024-08-27T18:22:14.800Z","61b1ea6ecbbe02bc49bf417c8f7ff77aed1c3427","62f44348-48b3-438f-a1a8-3f26a7db2b06"
"FM-5054-CA",5054,"CA","FM","2014-05-14T00:00:00.000Z",2014,"Fire","POINSETTIA FIRE",0,0,1,0,"2014-05-14T00:00:00.000Z","2014-05-17T00:00:00.000Z","2016-03-14T00:00:00.000Z",0,6,73,99073,"San Diego (County)",14035,"",2014051402,9,"","2024-08-27T18:22:14.800Z","3a21998ae9b25a2014e7e62474ac775a5a37c449","5de72391-b082-4716-82eb-470aeb3241f5"
"FM-5057-CA",5057,"CA","FM","2014-07-02T00:00:00.000Z",2014,"Fire","BUTTS FIRE",0,0,1,0,"2014-07-01T00:00:00.000Z","2014-07-06T00:00:00.000Z","2016-08-16T00:00:00.000Z",0,6,55,99055,"Napa (County)",14041,"",2014070202,9,"","2024-08-27T18:22:14.800Z","f2a5c354f42f7b46c3af096610745100f24f4d36","9514b8b6-d24d-46b7-96ba-bd3b0f00fbf5"
"FM-5070-CA",5070,"CA","FM","2014-08-03T00:00:00.000Z",2014,"Fire","DAY FIRE",0,0,1,0,"2014-08-01T00:00:00.000Z","2014-08-09T00:00:00.000Z","2016-08-16T00:00:00.000Z",0,6,49,99049,"Modoc (County)",14064,"",2014080303,9,"","2024-08-27T18:22:14.800Z","6f537d576ce7a42da82bc7b321e95bc2bda70628","3eda368b-1239-4494-b2e0-f8778df51f18"
"FM-5068-CA",5068,"CA","FM","2014-08-02T00:00:00.000Z",2014,"Fire","OREGON GULCH FIRE",0,0,1,0,"2014-08-01T00:00:00.000Z","2014-08-09T00:00:00.000Z","2016-04-06T00:00:00.000Z",0,6,93,99093,"Siskiyou (County)",14062,"",2014080301,9,"","2024-08-27T18:22:14.800Z","789418a95ea86b1d62591d64d165b69857e83222","a619bf7f-c727-4dcc-bb95-8787a903a862"
"FM-5067-CA",5067,"CA","FM","2014-08-02T00:00:00.000Z",2014,"Fire","EILER FIRE",0,0,1,0,"2014-08-01T00:00:00.000Z","2014-08-16T00:00:00.000Z","2017-09-29T00:00:00.000Z",0,6,89,99089,"Shasta (County)",14065,"",2014080202,9,"","2024-08-27T18:22:14.800Z","6dbc7aff298423ac251702303cc04c6f5ddd6b8e","a3977424-f4ef-49d0-9e7d-7c99eb41faea"
"FM-5069-CA",5069,"CA","FM","2014-08-03T00:00:00.000Z",2014,"Fire","BALD FIRE",0,0,1,0,"2014-08-02T00:00:00.000Z","2014-08-09T00:00:00.000Z","2018-02-27T00:00:00.000Z",0,6,35,99035,"Lassen (County)",14063,"",2014080302,9,"","2024-08-27T18:22:14.800Z","5e57109dae3bacd82ea513a2e8eee30d71517479","91960be3-9b37-42f9-a9b5-7d72980b7aaf"
