"Year","STATEFIPS","STATE","COUNTYFIPS","COUNTYNAME","agi_stub","N1"
2012,6,"CA",1,"Alameda County",1,13840
2012,6,"CA",1,"Alameda County",2,92030
2012,6,"CA",1,"Alameda County",3,139050
2012,6,"CA",1,"Alameda County",4,157110
2012,6,"CA",1,"Alameda County",5,99110
2012,6,"CA",1,"Alameda County",6,65570
2012,6,"CA",1,"Alameda County",7,113090
2012,6,"CA",1,"Alameda County",8,49210
2012,6,"CA",3,"Alpine County",1,0
2012,6,"CA",3,"Alpine County",2,90
2012,6,"CA",3,"Alpine County",3,110
2012,6,"CA",3,"Alpine County",4,90
2012,6,"CA",3,"Alpine County",5,70
2012,6,"CA",3,"Alpine County",6,30
2012,6,"CA",3,"Alpine County",7,60
2012,6,"CA",3,"Alpine County",8,0
2012,6,"CA",5,"Amador County",1,460
2012,6,"CA",5,"Amador County",2,2100
2012,6,"CA",5,"Amador County",3,3290
2012,6,"CA",5,"Amador County",4,3620
2012,6,"CA",5,"Amador County",5,2480
2012,6,"CA",5,"Amador County",6,1600
2012,6,"CA",5,"Amador County",7,1950
2012,6,"CA",5,"Amador County",8,390
2012,6,"CA",7,"Butte County",1,1940
2012,6,"CA",7,"Butte County",2,14830
2012,6,"CA",7,"Butte County",3,22480
2012,6,"CA",7,"Butte County",4,20870
2012,6,"CA",7,"Butte County",5,11400
2012,6,"CA",7,"Butte County",6,7230
2012,6,"CA",7,"Butte County",7,8050
2012,6,"CA",7,"Butte County",8,1850
2012,6,"CA",9,"Calaveras County",1,620
2012,6,"CA",9,"Calaveras County",2,2840
2012,6,"CA",9,"Calaveras County",3,4140
2012,6,"CA",9,"Calaveras County",4,4250
2012,6,"CA",9,"Calaveras County",5,2940
2012,6,"CA",9,"Calaveras County",6,1990
2012,6,"CA",9,"Calaveras County",7,2370
2012,6,"CA",9,"Calaveras County",8,430
2012,6,"CA",11,"Colusa County",1,200
2012,6,"CA",11,"Colusa County",2,1190
2012,6,"CA",11,"Colusa County",3,2460
2012,6,"CA",11,"Colusa County",4,2840
2012,6,"CA",11,"Colusa County",5,1240
2012,6,"CA",11,"Colusa County",6,590
2012,6,"CA",11,"Colusa County",7,640
2012,6,"CA",11,"Colusa County",8,250
2012,6,"CA",13,"Contra Costa County",1,10180
2012,6,"CA",13,"Contra Costa County",2,63450
2012,6,"CA",13,"Contra Costa County",3,88470
2012,6,"CA",13,"Contra Costa County",4,98730
2012,6,"CA",13,"Contra Costa County",5,68270
2012,6,"CA",13,"Contra Costa County",6,48080
2012,6,"CA",13,"Contra Costa County",7,86780
2012,6,"CA",13,"Contra Costa County",8,44900
2012,6,"CA",15,"Del Norte County",1,190
2012,6,"CA",15,"Del Norte County",2,1520
2012,6,"CA",15,"Del Norte County",3,2450
2012,6,"CA",15,"Del Norte County",4,2310
2012,6,"CA",15,"Del Norte County",5,1250
2012,6,"CA",15,"Del Norte County",6,770
2012,6,"CA",15,"Del Norte County",7,760
2012,6,"CA",15,"Del Norte County",8,120
2012,6,"CA",17,"El Dorado County",1,2140
2012,6,"CA",17,"El Dorado County",2,11900
2012,6,"CA",17,"El Dorado County",3,16260
2012,6,"CA",17,"El Dorado County",4,15760
2012,6,"CA",17,"El Dorado County",5,10760
2012,6,"CA",17,"El Dorado County",6,8350
2012,6,"CA",17,"El Dorado County",7,14010
2012,6,"CA",17,"El Dorado County",8,4920
2012,6,"CA",19,"Fresno County",1,5700
2012,6,"CA",19,"Fresno County",2,58800
2012,6,"CA",19,"Fresno County",3,114500
2012,6,"CA",19,"Fresno County",4,92990
2012,6,"CA",19,"Fresno County",5,41960
2012,6,"CA",19,"Fresno County",6,24410
2012,6,"CA",19,"Fresno County",7,29530
2012,6,"CA",19,"Fresno County",8,7790
2012,6,"CA",21,"Glenn County",1,280
2012,6,"CA",21,"Glenn County",2,1720
2012,6,"CA",21,"Glenn County",3,3130
2012,6,"CA",21,"Glenn County",4,3270
2012,6,"CA",21,"Glenn County",5,1490
2012,6,"CA",21,"Glenn County",6,730
2012,6,"CA",21,"Glenn County",7,730
2012,6,"CA",21,"Glenn County",8,220
2012,6,"CA",23,"Humboldt County",1,1240
2012,6,"CA",23,"Humboldt County",2,9320
2012,6,"CA",23,"Humboldt County",3,14170
2012,6,"CA",23,"Humboldt County",4,13480
2012,6,"CA",23,"Humboldt County",5,7350
2012,6,"CA",23,"Humboldt County",6,4200
2012,6,"CA",23,"Humboldt County",7,4140
2012,6,"CA",23,"Humboldt County",8,930
2012,6,"CA",25,"Imperial County",1,700
2012,6,"CA",25,"Imperial County",2,14290
2012,6,"CA",25,"Imperial County",3,26420
2012,6,"CA",25,"Imperial County",4,17250
2012,6,"CA",25,"Imperial County",5,7440
2012,6,"CA",25,"Imperial County",6,4360
2012,6,"CA",25,"Imperial County",7,4320
2012,6,"CA",25,"Imperial County",8,750
2012,6,"CA",27,"Inyo County",1,170
2012,6,"CA",27,"Inyo County",2,1240
2012,6,"CA",27,"Inyo County",3,1980
2012,6,"CA",27,"Inyo County",4,2010
2012,6,"CA",27,"Inyo County",5,1230
2012,6,"CA",27,"Inyo County",6,840
2012,6,"CA",27,"Inyo County",7,1000
2012,6,"CA",27,"Inyo County",8,140
2012,6,"CA",29,"Kern County",1,3930
2012,6,"CA",29,"Kern County",2,45960
2012,6,"CA",29,"Kern County",3,95070
2012,6,"CA",29,"Kern County",4,76890
2012,6,"CA",29,"Kern County",5,40330
2012,6,"CA",29,"Kern County",6,25320
2012,6,"CA",29,"Kern County",7,30920
2012,6,"CA",29,"Kern County",8,6410
2012,6,"CA",31,"Kings County",1,570
2012,6,"CA",31,"Kings County",2,7050
2012,6,"CA",31,"Kings County",3,14710
2012,6,"CA",31,"Kings County",4,14610
2012,6,"CA",31,"Kings County",5,6790
2012,6,"CA",31,"Kings County",6,3750
2012,6,"CA",31,"Kings County",7,3640
2012,6,"CA",31,"Kings County",8,680
2012,6,"CA",33,"Lake County",1,800
2012,6,"CA",33,"Lake County",2,4090
2012,6,"CA",33,"Lake County",3,6980
2012,6,"CA",33,"Lake County",4,6040
2012,6,"CA",33,"Lake County",5,3030
2012,6,"CA",33,"Lake County",6,1680
2012,6,"CA",33,"Lake County",7,1870
2012,6,"CA",33,"Lake County",8,300
2012,6,"CA",35,"Lassen County",1,190
2012,6,"CA",35,"Lassen County",2,1330
2012,6,"CA",35,"Lassen County",3,2020
2012,6,"CA",35,"Lassen County",4,2320
2012,6,"CA",35,"Lassen County",5,1640
2012,6,"CA",35,"Lassen County",6,1120
2012,6,"CA",35,"Lassen County",7,1180
2012,6,"CA",35,"Lassen County",8,80
2012,6,"CA",37,"Los Angeles County",1,93320
2012,6,"CA",37,"Los Angeles County",2,681470
2012,6,"CA",37,"Los Angeles County",3,1174520
2012,6,"CA",37,"Los Angeles County",4,1044050
2012,6,"CA",37,"Los Angeles County",5,537080
2012,6,"CA",37,"Los Angeles County",6,316040
2012,6,"CA",37,"Los Angeles County",7,428360
2012,6,"CA",37,"Los Angeles County",8,177290
2012,6,"CA",39,"Madera County",1,1020
2012,6,"CA",39,"Madera County",2,8060
2012,6,"CA",39,"Madera County",3,18140
2012,6,"CA",39,"Madera County",4,14440
2012,6,"CA",39,"Madera County",5,6420
2012,6,"CA",39,"Madera County",6,3870
2012,6,"CA",39,"Madera County",7,3950
2012,6,"CA",39,"Madera County",8,790
2012,6,"CA",41,"Marin County",1,4900
2012,6,"CA",41,"Marin County",2,16240
2012,6,"CA",41,"Marin County",3,19350
2012,6,"CA",41,"Marin County",4,21660
2012,6,"CA",41,"Marin County",5,15160
2012,6,"CA",41,"Marin County",6,11180
2012,6,"CA",41,"Marin County",7,23140
2012,6,"CA",41,"Marin County",8,19390
2012,6,"CA",43,"Mariposa County",1,210
2012,6,"CA",43,"Mariposa County",2,1100
2012,6,"CA",43,"Mariposa County",3,1890
2012,6,"CA",43,"Mariposa County",4,1980
2012,6,"CA",43,"Mariposa County",5,1030
2012,6,"CA",43,"Mariposa County",6,640
2012,6,"CA",43,"Mariposa County",7,720
2012,6,"CA",43,"Mariposa County",8,110
2012,6,"CA",45,"Mendocino County",1,1080
2012,6,"CA",45,"Mendocino County",2,6180
2012,6,"CA",45,"Mendocino County",3,10060
2012,6,"CA",45,"Mendocino County",4,9620
2012,6,"CA",45,"Mendocino County",5,4700
2012,6,"CA",45,"Mendocino County",6,2570
2012,6,"CA",45,"Mendocino County",7,2890
2012,6,"CA",45,"Mendocino County",8,710
2012,6,"CA",47,"Merced County",1,1520
2012,6,"CA",47,"Merced County",2,14790
2012,6,"CA",47,"Merced County",3,28930
2012,6,"CA",47,"Merced County",4,26280
2012,6,"CA",47,"Merced County",5,11450
2012,6,"CA",47,"Merced County",6,5870
2012,6,"CA",47,"Merced County",7,5680
2012,6,"CA",47,"Merced County",8,1100
2012,6,"CA",49,"Modoc County",1,160
2012,6,"CA",49,"Modoc County",2,560
2012,6,"CA",49,"Modoc County",3,860
2012,6,"CA",49,"Modoc County",4,890
2012,6,"CA",49,"Modoc County",5,470
2012,6,"CA",49,"Modoc County",6,270
2012,6,"CA",49,"Modoc County",7,240
2012,6,"CA",49,"Modoc County",8,40
2012,6,"CA",51,"Mono County",1,170
2012,6,"CA",51,"Mono County",2,810
2012,6,"CA",51,"Mono County",3,1660
2012,6,"CA",51,"Mono County",4,1580
2012,6,"CA",51,"Mono County",5,820
2012,6,"CA",51,"Mono County",6,470
