"Year","COUNTYFIPS","COUNTYNAME","weighted_agi_stub"
2012,1,"Alameda County",4.55106239969273
2013,1,"Alameda County",4.61209453383973
2014,1,"Alameda County",4.68483719954366
2015,1,"Alameda County",4.77474031622576
2016,1,"Alameda County",4.85581116580377
2017,1,"Alameda County",4.94380598700223
2018,1,"Alameda County",5.0559893068169
2019,1,"Alameda County",5.1000817296976
2020,1,"Alameda County",5.03999902619535
2021,1,"Alameda County",5.26559567885581
2022,1,"Alameda County",5.35651108818979
2012,3,"Alpine County",4.04444444444444
2013,3,"Alpine County",4.04444444444444
2014,3,"Alpine County",4.04444444444444
2015,3,"Alpine County",4.23255813953488
2016,3,"Alpine County",4.16666666666667
2017,3,"Alpine County",4.24444444444444
2018,3,"Alpine County",4.28260869565217
2019,3,"Alpine County",4.29411764705882
2020,3,"Alpine County",4.43396226415094
2021,3,"Alpine County",4.61538461538461
2022,3,"Alpine County",4.85106382978723
2012,5,"Amador County",4.26557583385777
2013,5,"Amador County",4.28066914498141
2014,5,"Amador County",4.34014869888476
2015,5,"Amador County",4.38297872340426
2016,5,"Amador County",4.43223880597015
2017,5,"Amador County",4.50440917107584
2018,5,"Amador County",4.58632676709154
2019,5,"Amador County",4.5759249033683
2020,5,"Amador County",4.24105011933174
2021,5,"Amador County",4.66718995290424
2022,5,"Amador County",4.79227841218053
2012,7,"Butte County",3.99379582628314
2013,7,"Butte County",4.03602192638998
2014,7,"Butte County",4.08669176262179
2015,7,"Butte County",4.11405119343342
2016,7,"Butte County",4.15940794377596
2017,7,"Butte County",4.22733105218135
2018,7,"Butte County",4.32497435312892
2019,7,"Butte County",4.32611832611833
2020,7,"Butte County",4.25118533347382
2021,7,"Butte County",4.49684233449477
2022,7,"Butte County",4.62315270935961
2012,9,"Calaveras County",4.20786516853933
2013,9,"Calaveras County",4.25573102394294
2014,9,"Calaveras County",4.31664964249234
2015,9,"Calaveras County",4.37280481685901
2016,9,"Calaveras County",4.39655172413793
2017,9,"Calaveras County",4.49632533072023
2018,9,"Calaveras County",4.5697503671072
2019,9,"Calaveras County",4.57183098591549
2020,9,"Calaveras County",4.54886211512718
2021,9,"Calaveras County",4.74863387978142
2022,9,"Calaveras County",4.84766355140187
2012,11,"Colusa County",3.9893730074389
2013,11,"Colusa County",4.04255319148936
2014,11,"Colusa County",4.11157894736842
2015,11,"Colusa County",4.16615384615385
